	y	i	j	e before /i/	e not before /i/	et	&	hi	hy
–1100	TBD	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1101–1150	TBD	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1151–1200	TBD	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1201–1250	TBD	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1251–1300	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1301–1350	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1351–1400	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1401–1450	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1451–1500	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1501–1550	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
1551–1600	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TBD	TBD
